time_ms,has_target,X_cam,Y_cam,Z_cam
1784614294082,1,0.662000,0.042497,0.010761
1784614294117,1,0.662000,0.040305,0.011860
1784614294150,1,0.658000,0.036248,0.011242
1784614294182,1,0.655000,0.032829,0.012278
1784614294217,1,0.651000,0.030473,0.013284
1784614294251,1,0.650000,0.027736,0.012724
1784614294283,1,0.647000,0.024930,0.012128
1784614294316,1,0.645000,0.024853,0.013162
1784614294350,1,0.645000,0.026455,0.014767
1784614294384,1,0.642000,0.028458,0.014699
1784614294417,1,0.638000,0.031977,0.013019
1784614294450,1,0.638000,0.034618,0.014607
1784614294484,1,0.634000,0.039125,0.013989
1784614294518,1,0.631000,0.045731,0.013400
1784614294551,1,0.629000,0.048710,0.013357
1784614294584,1,0.629000,0.054438,0.013879
1784614294619,1,0.629000,0.056000,0.013357
1784614294653,1,0.627000,0.055822,0.012274
1784614294685,1,0.626000,0.054696,0.012254
1784614294721,1,0.625000,0.050987,0.011716
1784614294754,1,0.623000,0.045666,0.009610
1784614294787,1,0.626000,0.039668,0.009657
1784614294821,1,0.625000,0.030291,0.008604
1784614294855,1,0.625000,0.023047,0.008604
1784614294887,1,0.625000,0.017356,0.009123
1784614294921,1,0.623000,0.011111,0.008059
1784614294955,1,0.624000,0.008030,0.009108
1784614294988,1,0.622000,0.007489,0.008563
1784614295023,1,0.621000,0.008505,0.008549
1784614295056,1,0.620000,0.010031,0.009050
1784614295090,1,0.618000,0.013069,0.007995
1784614295122,1,0.617000,0.016623,0.008494
1784614295157,1,0.614000,0.018575,0.007433
1784614295191,1,0.614000,0.018575,0.008452
1784614295223,1,0.610000,0.015929,0.006879
1784614295257,1,0.608000,0.013361,0.007361
1784614295290,1,0.605000,0.007284,0.007324
1784614295324,1,0.603000,0.000272,0.008301
1784614295358,1,0.601000,-0.009182,0.009770
1784614295391,1,0.598000,-0.019038,0.011706
1784614295424,1,0.594000,-0.031204,0.012121
1784614295459,1,0.591000,-0.042788,0.013041
1784614295492,1,0.588000,-0.056687,0.013462
1784614295525,1,0.584000,-0.067421,0.012886
1784614295558,1,0.582000,-0.076345,0.013325
1784614295593,1,0.579000,-0.080265,0.011815
1784614295627,1,0.578000,-0.080127,0.011794
1784614295660,1,0.579000,-0.073075,0.009412
1784614295693,1,0.581000,-0.062265,0.008963
1784614295727,1,0.583000,-0.048483,0.007542
1784614295761,1,0.584000,-0.034546,0.007070
1784614295794,1,0.584000,-0.022460,0.005616
1784614295828,1,0.585000,-0.013296,0.008053
1784614295863,1,0.586000,-0.005557,0.007094
1784614295895,1,0.587000,-0.000707,0.007106
1784614295929,1,0.588000,-0.000709,0.006143
1784614295963,1,0.592000,-0.006104,0.006676
1784614295996,1,0.593000,-0.016424,0.006195
1784614296030,1,0.597000,-0.030867,0.005741
1784614296063,1,0.599000,-0.047334,0.005263
1784614296098,1,0.603000,-0.061129,0.004798
1784614296131,1,0.606000,-0.073975,0.005325
1784614296165,1,0.611000,-0.085207,0.004862
1784614296197,1,0.617000,-0.093195,0.004909
1784614296232,1,0.619000,-0.097596,0.001843
1784614296266,1,0.624000,-0.095285,0.000822
1784614296299,1,0.629000,-0.087197,-0.000737
1784614296333,1,0.635000,-0.072258,-0.001798
1784614296368,1,0.641000,-0.054368,-0.003411
1784614296401,1,0.644000,-0.034897,-0.006100
1784614296434,1,0.649000,-0.019049,-0.008302
1784614296469,1,0.655000,-0.007296,-0.009465
1784614296503,1,0.664000,-0.000250,-0.012351
1784614296535,1,0.672000,-0.002479,-0.014731
1784614296569,1,0.679000,-0.012060,-0.016574
1784614296601,1,0.690000,-0.027107,-0.017988
1784614296634,1,0.699000,-0.047135,-0.021704
1784614296668,1,0.710000,-0.067861,-0.023224
1784614296702,1,0.722000,-0.079767,-0.022418
1784614296735,1,0.731000,-0.089839,-0.023304
1784614296769,1,0.743000,-0.098694,-0.024920
1784614296802,1,0.752000,-0.096777,-0.028342
1784614296836,1,0.765000,-0.092751,-0.028197
1784614296870,1,0.774000,-0.081667,-0.030456
1784614296904,1,0.784000,-0.069093,-0.032801
1784614296937,1,0.794000,-0.052227,-0.035197
1784614296971,1,0.803000,-0.035535,-0.036928
1784614297004,1,0.815000,-0.022572,-0.038833
1784614297039,1,0.823000,-0.012574,-0.039897
1784614297072,1,0.830000,-0.007871,-0.039548
1784614297106,1,0.838000,-0.008641,-0.040624
1784614297139,1,0.845000,-0.012910,-0.040964
1784614297173,1,0.855000,-0.016602,-0.040739
1784614297206,1,0.860000,-0.018835,-0.041691
1784614297240,1,0.864000,-0.020353,-0.041885
1784614297274,1,0.869000,-0.017593,-0.040685
1784614297308,1,0.871000,-0.016192,-0.040778
1784614297341,1,0.873000,-0.014061,-0.041597
1784614297374,1,0.879000,-0.011974,-0.042612
1784614297408,1,0.879000,-0.009064,-0.044071
1784614297441,1,0.884000,-0.006920,-0.045055
1784614297476,1,0.882000,-0.005444,-0.049345
